,Initial,Final,Interval,H2S,Flow,H3,H4,D1,D3,D28,D91,D180,D365
0,90,130,40,,215,0.7,,5.9,14.7,29.1,,,
1,16,18,2,,230,20.5,,37.9,34.1,48.1,,,
2,128,138,10,,185,5.3,,27.5,28.7,40.2,,,
3,4,8,4,,210,2.9,,12,12.2,17.5,,,
4,,,,,,,,,,,,,
5,,,,,182.5,0.5,,0.7,0.7,,,,
6,,,,,165,,,0.8,1,,,,
7,,,,,230,1.1,,3.3,14,,,,
8,,,,,222.5,26.8,,41.7,47.9,,,,
9,,,,,180,,,2.9,6.7,,,,
10,,,,,,,,,,,,,
11,,,,,,,,,,,,,
12,,,,,,,,,,,,,
13,,,,,,,,,,,,,
14,,,,,,,,,,,,,
15,,,,,,,,,,,,,
16,,,,,,,,,,,,,
17,,,,,,,,,,,,,
18,,,,137,222.5,29,,38.9,33.6,53,,,
19,,,,77,215,32.4,,41.1,38.6,68.8,,,
20,,,,65,212.5,26.1,,37.9,36,60.5,,,
21,,,,21,212.5,30.2,,36.3,43.1,67.2,,,
22,,,,25,225,14.6,,29.6,36.8,52.4,,,
23,,,,23,222.5,25.6,,34.5,45.1,70.3,,,
24,,,,22,220,25.7,,35.1,49,74.2,,,
25,,,,39,235,0.6,,4.2,17.3,13.8,,,
26,,,,137,227.5,18,,37,46,47.8,,,
27,,,,137,225,43,,64,66,64.7,,,
28,,,,137,220,46,,60,67,66,,,
29,,,,137,217.5,42.5,,57,60,61.1,,,
30,,,,137,240,6,,14,25,35.6,,,
31,,,,137,235,5,,10,12,26.2,,,
32,,,,137,240,14,,28,36,49.8,,,
33,,,,137,237.5,33,,54,56,67.6,,,
34,,,,137,245,29,,54,57,69.7,,,
35,,,,137,240,26.9,,50.1,53.1,50.1,,,
36,,,,137,232.5,33.3,,45.9,44,39,,,
37,,,,137,237.5,30.8,,43.5,43.1,37,,,
38,,,,110,237.5,30,,44.3,42.1,38.2,,,
39,,,,83,235,29.1,,39.8,38.4,36.3,,,
40,,,,,240,27.9,,52.3,56.8,51.5,,,
41,,,,,240,34.2,,53.6,60.2,50.8,,,
42,,,,,237.5,35.6,,58.9,61.9,56,,,
43,,,,,235,36,,62.2,66.2,62.3,,,
44,,,,,230,37.7,,64.9,71.7,70.9,,,
45,,,,,245,10.4,,45.4,51.5,56.4,,,
46,,,,,245,10.2,,42.8,52.5,57.9,,,
47,,,,,247.5,10.5,,44.8,56.8,64.4,,,
48,,,,,250,7.7,,38.5,49.5,61,,,
49,,,,,250,9.1,,42.5,50.4,58.9,,,
50,,,,,255,6.4,,39.2,45.5,53.9,,,
51,,,,137,235,45.7,,53.7,58.3,65.1,,,
52,,,,92,225,45.5,,51.6,56.8,60.2,,,
53,,,,33,225,35,,53.8,62.2,66.6,,,
54,,,,65,230,20.7,,44.6,51.2,59.4,,,
55,,,,137,225,44,,51.5,59.8,64.1,,,
56,,,,77,225,39.9,,52.3,60.9,63.8,,,
57,,,,73,225,41.7,,47.4,50.7,58.9,,,
58,,,,,,36.2,,41.2,,,,,
59,,,,,,35.5,,42.6,,,,,
60,,,,,,34.9,,43.8,,,,,
61,,,,,,35,,41.8,,,,,
62,,,,,,34.8,,41.2,,,,,
63,,,,,,35.2,,43.5,,,,,
64,,,,,,36.1,,44.6,,,,,
65,,,,,,38.4,,46.5,,,,,
66,,,,,,37.5,,45.9,,,,,
67,,,,,,36.6,,43.2,,,,,
68,,,,,,37.1,,42.1,,,,,
69,19,30,11,,,39.5,,49.2,,,,,
70,35,71,36,,,40.5,,47.8,,,,,
71,30,57,27,,,41.7,,47.3,,,,,
72,37,67,30,,,41.2,,48.9,,,,,
73,28,46,18,,,40.8,,48.5,,,,,
74,0,0,0,,,,,,,,,,
75,1,5,4,,,,,,,,,,
76,14,22,8,,,,,,,,,,
77,37,100,63,,,,,,,,,,
78,0,0,0,,,,,,,,,,
79,0,0,0,,,,,,,,,,
80,2,3,1,,,,,,,,,,
81,8,12,4,,,,,,,,,,
82,0,0,0,,,,,,,,,,
83,2,3,1,,,,,,,,,,
84,14,30,16,,,,,,,,,,
85,44,76,32,,,,,,,,,,
86,0,0,0,,,,,,,,,,
87,0,0,0,,,,,,,,,,
88,2,6,4,,,,,,,,,,
89,6,9,3,,,,,,,,,,
90,0,0,0,,,,,,,,,,
91,14,24,10,,,,,,,,,,
92,26,52,26,,,,,,,,,,
93,0,0,0,,,,,,,,,,
94,1,8,7,,,,,,,,,,
95,25,30,5,,,,,,,,,,
96,0,0,0,,,,,,,,,,
97,6,18,12,,,,,,,,,,
98,14,22,8,,,,,,,,,,
99,26,48,22,,,,,,,,,,
100,0,0,0,,,,,,,,,,
101,1,2,1,,,,,,,,,,
102,1,6,5,,,,,,,,,,
103,18,22,4,,,,,,,,,,
104,,,,,247.5,,,0.4,0.9,3.3,,,
105,,,,,225,,,4.5,5.7,8.2,,,
106,,,,,220,,,5.2,6.9,7.6,,,
107,,,,,215,,,2.9,5.2,6.6,,,
108,,,,,185,0.3,,0.9,1.3,5.8,,,
109,,,,,210,3,,4.2,4.9,8,,,
110,,,,,220,2.5,,4.5,4.8,7.3,,,
111,,,,,210,3.7,,4.9,6.5,6.3,,,
112,,,,,202.5,0.4,,3.4265625,5.153125,7.2,,,
113,,,,,207.5,16.3,,45.64791666666667,51.02916666666667,55.1,,,
114,,,,,212.5,17,,40.390625,53.69375,56.7,,,
115,,,,,187.5,23.7,,48.73958333333333,53.67916666666666,58.3,,,
116,,,,,197.5,0.6,,3.3484375,5.2296875,8.3,,,
117,,,,,200,14.8,,47.8375,49.8125,56.4,,,
118,,,,,205,17.9,,47.76875,57.9375,62.7,,,
119,,,,,205,19.5,,45.75625,66.4375,69.4,,,
120,5,10,5,,,,,,,,,,
121,3,6,3,,,,,,,,,,
122,2,4,2,,,,,,,,,,
123,1,4,3,,,,,,,,,,
124,80,200,120,,,,,,,,,,
125,30,37,7,,,,,,,,,,
126,22,32,10,,,,,,,,,,
127,59,70,11,,,,,,,,,,
128,0,0,0,,,,,,,,,,
129,0,0,0,,,,,,,,,,
130,0,0,0,,,,,,,,,,
131,0,0,0,,,,,,,,,,
132,79,130,51,,,,,,,,,,
133,18,23,5,,,,,,,,,,
134,8,14,6,,,,,,,,,,
135,12,21,9,,,,,,,,,,
136,107,175,68,,,,,,,,,,
137,138,153,15,,,,,,,,,,
138,129,141,12,,,,,,,,,,
139,126,165,39,,,,,,,,,,
140,,,,,,27.1,,61.5,71.1,80.6,,,
141,,,,,,6.4,,23.3,25.8,35,,,
142,0,0,0,,,,,,,,,,
143,0,0,0,,,,,,,,,,
144,5,7,2,,,,,,,,,,
145,8,13,5,,,,,,,,,,
146,12,18,6,,,42.1,,49.8,,,,,
147,0,0,0,,,,,,,,,,
148,0,0,0,,,,,,,,,,
149,6,9,3,,,,,,,,,,
150,9,17,8,,,,,,,,,,
151,28,34,6,,,41.1,,48.5,,,,,
152,0,0,0,,,,,,,,,,
153,1,3,2,,,,,,,,,,
154,3,11,8,,,,,,,,,,
155,11,19,8,,,,,,,,,,
156,10,21,11,,,40.2,,47.9,,,,,
157,0,0,0,,,,,,,,,,
158,0,3,3,,,,,,,,,,
159,1,7,6,,,,,,,,,,
160,3,17,14,,,,,,,,,,
161,8,25,17,,,40,,47.5,,,,,
162,0,0,0,,,,,,,,,,
163,2,4,2,,,,,,,,,,
164,2,10,8,,,,,,,,,,
165,18,28,10,,,,,,,,,,
