,MeanV,Density,Blain
0,,2.87,6012
1,,2.87,6012
2,,2.87,6012
3,,2.87,6012
4,,2.87,6051
5,,2.87,6051
6,,2.87,6051
7,5.45,2.91,5994
8,5.45,2.91,5994
9,5.45,2.91,5994
10,,,
11,,,
12,,,
13,,,
14,,,
15,,,
16,,,
17,,,
18,5.45,2.91,5994
19,5.45,2.91,5994
20,5.45,2.91,5994
21,5.45,2.91,5994
22,5.45,2.91,5994
23,5.45,2.91,5994
24,5.45,2.91,5994
25,5.45,2.91,5994
26,5.45,2.91,5994
27,5.45,2.91,5994
28,5.45,2.91,5994
29,5.45,2.91,5994
30,5.45,2.91,5994
31,5.45,2.91,5994
32,5.45,2.91,5994
33,5.45,2.91,5994
34,5.45,2.91,5994
35,5.33,2.91,6045
36,5.33,2.91,6045
37,5.33,2.91,6045
38,5.33,2.91,6045
39,5.33,2.91,6045
40,5.33,2.91,6045
41,5.33,2.91,6045
42,5.33,2.91,6045
43,5.33,2.91,6045
44,5.33,2.91,6045
45,5.33,2.91,6045
46,5.33,2.91,6045
47,5.33,2.91,6045
48,5.33,2.91,6045
49,5.33,2.91,6045
50,5.33,2.91,6045
51,5.33,2.91,6045
52,5.33,2.91,6045
53,5.33,2.91,6045
54,5.33,2.91,6045
55,5.33,2.91,6045
56,5.33,2.91,6045
57,5.33,2.91,6045
58,,,6101
59,,,6005
60,,,6065
61,,,5964
62,,,5952
63,,,6047
64,,,6128
65,,,5991
66,,,6084
67,,,6281
68,,,5824
69,,2.91,6011
70,,2.91,5886
71,,2.91,6052
72,,2.91,5925
73,,2.91,5976
74,9.723,2.941,5101
75,9.723,2.941,5101
76,9.723,2.941,5101
77,9.723,2.941,5101
78,9.723,2.941,5101
79,9.723,2.941,5101
80,9.723,2.941,5101
81,9.723,2.941,5101
82,8.221,2.941,6042
83,8.221,2.941,6042
84,8.221,2.941,6042
85,8.221,2.941,6042
86,8.221,2.941,6042
87,8.221,2.941,6042
88,8.221,2.941,6042
89,8.221,2.941,6042
90,9.854,2.936,5078
91,9.854,2.936,5078
92,9.854,2.936,5078
93,9.854,2.936,5078
94,9.854,2.936,5078
95,9.854,2.936,5078
96,7.865,2.936,6104
97,7.865,2.936,6104
98,7.865,2.936,6104
99,7.865,2.936,6104
100,7.865,2.936,6104
101,7.865,2.936,6104
102,7.865,2.936,6104
103,7.865,2.936,6104
104,9.854,2.936,5078
105,9.854,2.936,5078
106,9.854,2.936,5078
107,9.854,2.936,5078
108,7.865,2.936,6104
109,7.865,2.936,6104
110,7.865,2.936,6104
111,7.865,2.936,6104
112,9.723,2.941,5101
113,9.723,2.941,5101
114,9.723,2.941,5101
115,9.723,2.941,5101
116,8.221,2.941,6042
117,8.221,2.941,6042
118,8.221,2.941,6042
119,8.221,2.941,6042
120,8.221,2.941,6042
121,8.221,2.941,6042
122,8.221,2.941,6042
123,8.221,2.941,6042
124,9.854,2.936,5078
125,9.854,2.936,5078
126,9.854,2.936,5078
127,9.854,2.936,5078
128,7.865,2.936,6104
129,7.865,2.936,6104
130,7.865,2.936,6104
131,7.865,2.936,6104
132,7.865,2.936,6104
133,7.865,2.936,6104
134,7.865,2.936,6104
