Column,Index,True Value,Predicted Value,Error
FM,441,3.36,2.282732725027423,1.077267
FM,442,4.4,4.350948423210118,0.049052
FM,443,3.18,3.0628689512612426,0.117131
FM,444,4.4,4.331783515688249,0.068216
FM,445,2.84,2.812680612504031,0.027319
FM,446,3.18,3.0910191477062954,0.088981
FM,447,4.2,4.178270362960203,0.02173
FM,448,4.3,4.295064194166664,0.004936
FM,449,3.18,3.0910191477062954,0.088981
FM,450,3.23,3.169738572533324,0.060261
MeanV,431,8.877,8.919714810025095,0.042715
MeanV,432,7.526,7.64354229989798,0.117542
MeanV,433,5.12,5.134808277780692,0.014808
MeanV,434,5.12,5.134808277780692,0.014808
MeanV,435,8.221,8.359716341978826,0.138716
MeanV,436,5.12,5.134808277780692,0.014808
MeanV,437,7.394,7.560485553994966,0.166486
MeanV,438,9.274,9.288325880065143,0.014326
MeanV,439,10.655,7.762443291169285,2.892557
MeanV,440,5.12,5.3367659925414035,0.216766
Density,421,2.954,2.9545329209249447,0.000533
Density,422,2.93,2.928334570651729,0.001665
Density,423,2.97,2.9700641782730903,6.4e-05
Density,424,2.97,2.9651255855552447,0.004874
Density,425,2.97,2.969182817259712,0.000817
Density,426,2.9,2.883489400317044,0.016511
Density,427,2.905,2.9113805158063686,0.006381
Density,428,2.93,2.928334570651729,0.001665
Density,429,2.93,2.928334570651729,0.001665
Density,430,2.93,2.928334570651729,0.001665
Blain,411,6155.0,6159.734692559976,4.734693
Blain,412,6152.0,6154.627297117382,2.627297
Blain,413,5940.0,6069.990203103023,129.990203
Blain,414,6152.0,6155.961208238424,3.961208
Blain,415,6155.0,6160.0728083121,5.072808
Blain,416,5991.0,6077.2921765848305,86.292177
Blain,417,5953.0,6000.653911324858,47.653911
Blain,418,6152.0,6155.961208238424,3.961208
Blain,419,6045.0,6032.805928965551,12.194071
Blain,420,6152.0,6155.961208238424,3.961208
HG,401,1.0,0.964553617741017,0.035446
HG,402,0.0,0.867183078092709,0.867183
HG,403,1.0,0.9750517218048296,0.024948
HG,404,0.0,0.9619971748237282,0.961997
HG,405,1.0,0.9624893803155458,0.037511
HG,406,1.0,0.9558043882072613,0.044196
HG,407,1.0,0.9558043882072613,0.044196
HG,408,1.0,0.9922946988897283,0.007705
HG,409,1.0,0.8898200579231215,0.11018
HG,410,1.0,0.9768808092522209,0.023119
AG,401,0.0,0.030810932922257565,0.030811
AG,402,0.0,-0.0019318487936542325,0.001932
AG,403,0.0,0.038053464662022425,0.038053
AG,404,0.0,0.03156393701107858,0.031564
AG,405,0.0,0.05593425496668138,0.055934
AG,406,0.0,0.056523628734980375,0.056524
AG,407,0.0,0.056523628734980375,0.056524
AG,408,0.0,0.0009123091653953919,0.000912
AG,409,0.0,0.06562909161789318,0.065629
AG,410,0.0,-0.011400987890346936,0.011401
DG,401,0.0,0.018733265371024155,0.018733
DG,402,1.0,0.0571949271199295,0.942805
DG,403,0.0,0.009193826899644209,0.009194
DG,404,1.0,0.007884326405908387,0.992116
DG,405,0.0,0.0247915425561267,0.024792
DG,406,0.0,0.035077519203992186,0.035078
DG,407,0.0,0.035077519203992186,0.035078
DG,408,0.0,-0.003351721032780919,0.003352
DG,409,0.0,0.024965994388468,0.024966
DG,410,0.0,0.03594236304011972,0.035942
Gyp_per,391,25.0,25.332370104618768,0.33237
Gyp_per,392,40.0,36.44769067968861,3.552309
Gyp_per,393,25.0,25.37254039617796,0.37254
Gyp_per,394,40.0,30.126362300999975,9.873638
Gyp_per,395,30.0,31.83329835598633,1.833298
Gyp_per,396,0.0,13.92994938897217,13.929949
Gyp_per,397,25.0,24.77734574850013,0.222654
Gyp_per,398,25.0,25.438742765552302,0.438743
Gyp_per,399,25.0,24.67138636972329,0.328614
Gyp_per,400,25.0,27.9301879674202,2.930188
WC_per,381,0.4,0.434640156331218,0.03464
WC_per,382,0.4,0.447096046702113,0.047096
WC_per,383,0.4,0.434640156331218,0.03464
WC_per,384,0.4,0.447096046702113,0.047096
WC_per,385,0.4,0.46133610230193345,0.061336
WC_per,386,0.5,0.4128632608739882,0.087137
WC_per,387,0.4,0.414291876068321,0.014292
WC_per,388,0.4,0.414291876068321,0.014292
WC_per,389,0.4,0.414291876068321,0.014292
WC_per,390,0.4,0.46133610230193345,0.061336
